LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO
70,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:52.959,2020-11-25 12:42:52,authentication,0.0,OK
71,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:52.989,2020-11-25 12:42:52,SET,0.262,OK
72,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:53.022,2020-11-25 12:42:52,SELECT,1.843,OK
73,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:53.055,2020-11-25 12:42:52,SELECT,4.449,OK
74,prueba,cesar,192.168.1.62,12627,2020-11-25,12:43:53.144,2020-11-25 12:43:52,SELECT,1.834,OK
75,prueba,cesar,192.168.1.62,12627,2020-11-25,12:43:53.175,2020-11-25 12:43:52,SELECT,2.348,OK
76,prueba,cesar,192.168.1.62,12627,2020-11-25,12:43:53.207,2020-11-25 12:43:52,SELECT,3.412,OK
77,prueba,cesar,192.168.1.62,12627,2020-11-25,12:43:53.235,2020-11-25 12:43:52,SELECT,1.518,OK
78,prueba,cesar,192.168.1.62,12627,2020-11-25,12:44:53.265,2020-11-25 12:44:52,SELECT,0.391,OK
79,prueba,cesar,192.168.1.62,12627,2020-11-25,12:44:53.294,2020-11-25 12:44:52,SELECT,0.925,OK
80,prueba,cesar,192.168.1.62,12627,2020-11-25,12:44:53.325,2020-11-25 12:44:52,SELECT,0.376,OK
81,prueba,cesar,192.168.1.62,12627,2020-11-25,12:44:53.416,2020-11-25 12:44:52,SELECT,0.520,OK
82,prueba,cesar,192.168.1.62,12627,2020-11-25,12:45:53.446,2020-11-25 12:44:52,SELECT,0.382,OK
83,prueba,cesar,192.168.1.62,12627,2020-11-25,12:45:53.478,2020-11-25 12:45:52,idle,0.0,OK
84,prueba,karen,192.168.1.62,12636,2020-11-25,12:45:56.437,2020-11-25 12:45:56,,0.0,OK
85,prueba,karen,192.168.1.79,12636,2020-11-25,12:45:56.506,2020-11-25 12:45:56,authentication,0.0,OK
86,prueba,karen,192.168.1.79,12636,2020-11-25,12:46:56.538,2020-11-25 12:46:56,SET,0.216,OK
87,prueba,karen,192.168.1.79,12636,2020-11-25,12:46:56.570,2020-11-25 12:46:56,SELECT,1.885,OK
88,prueba,karen,192.168.1.79,12636,2020-11-25,12:46:56.601,2020-11-25 12:47:56,SELECT,3.462,OK
89,prueba,karen,192.168.1.79,12636,2020-11-25,12:47:56.675,2020-11-25 12:47:56,SET,0.090,OK
90,prueba,karen,192.168.1.79,12636,2020-11-25,12:47:56.706,2020-11-25 12:47:56,SELECT,1.935,OK
91,prueba,karen,192.168.1.79,12636,2020-11-25,12:47:56.736,2020-11-25 12:47:56,SELECT,0.487,OK
